iter	Passed	Remaining
0	3	3827
1	8	4193
2	12	4279
3	17	4233
4	51	10275
5	55	9217
6	59	8436
7	63	7837
8	67	7417
9	70	7021
10	74	6709
11	78	6449
12	82	6295
13	86	6120
14	90	5948
15	94	5806
16	98	5696
17	102	5576
18	105	5463
19	109	5366
20	113	5271
21	116	5190
22	120	5101
23	123	5017
24	127	4954
25	130	4886
26	133	4823
27	137	4762
28	140	4703
29	143	4641
30	147	4598
31	150	4546
32	153	4501
33	157	4462
34	160	4418
35	163	4384
36	166	4346
37	170	4307
38	173	4273
39	176	4238
40	180	4218
41	183	4187
42	186	4155
43	189	4122
44	192	4091
45	196	4079
46	201	4082
47	205	4073
48	211	4099
49	216	4107
50	221	4117
51	226	4134
52	231	4137
53	235	4129
54	239	4121
55	245	4134
56	249	4131
57	253	4117
58	257	4100
59	261	4091
60	264	4077
61	268	4067
62	272	4053
63	277	4055
64	281	4043
65	284	4029
66	288	4014
67	292	4005
68	295	3991
69	299	3976
70	302	3962
71	306	3944
72	310	3936
73	313	3920
74	316	3904
75	319	3881
76	322	3866
77	326	3855
78	329	3845
79	333	3839
80	337	3827
81	340	3809
82	343	3799
83	346	3779
84	349	3764
85	352	3750
86	356	3742
87	359	3722
88	361	3704
89	364	3685
90	367	3667
91	369	3649
92	372	3633
93	375	3614
94	377	3598
95	380	3582
96	383	3565
97	385	3549
98	388	3538
99	391	3523
100	394	3508
101	396	3492
102	399	3476
103	401	3460
104	404	3447
105	406	3431
106	409	3417
107	412	3403
108	414	3388
109	416	3373
110	420	3364
111	422	3352
112	425	3338
113	428	3326
114	430	3313
115	433	3301
116	436	3293
117	439	3282
118	441	3270
119	444	3258
120	447	3247
121	449	3236
122	452	3227
123	455	3216
124	457	3204
125	460	3192
126	462	3181
127	465	3172
128	468	3164
129	471	3153
130	473	3143
131	476	3132
132	478	3122
133	481	3112
134	484	3107
135	487	3097
136	490	3086
137	492	3077
138	495	3071
139	499	3067
140	502	3061
141	505	3052
142	508	3046
143	511	3040
144	514	3035
145	518	3029
146	521	3025
147	525	3024
148	528	3017
149	532	3017
150	535	3013
151	539	3008
152	542	3005
153	547	3007
154	551	3008
155	555	3006
156	559	3005
157	563	3003
158	567	3000
159	570	2996
160	574	2991
161	577	2986
162	580	2982
163	584	2978
164	587	2975
165	591	2972
166	595	2969
167	598	2965
168	602	2961
169	605	2956
170	609	2952
171	612	2948
172	616	2946
173	620	2943
174	623	2940
175	627	2937
176	631	2937
177	635	2933
178	638	2930
179	642	2927
180	646	2927
181	650	2922
182	653	2918
183	657	2914
184	661	2913
185	665	2911
186	668	2907
187	673	2907
188	678	2910
189	681	2907
190	685	2902
191	688	2898
192	692	2896
193	695	2891
194	699	2886
195	703	2883
196	706	2881
197	710	2876
198	713	2871
199	717	2868
200	721	2867
201	725	2865
202	728	2860
203	732	2856
204	735	2851
205	739	2850
206	742	2845
207	746	2840
208	749	2836
209	752	2832
210	756	2828
211	759	2824
212	763	2819
213	766	2816
214	770	2812
215	773	2808
216	777	2805
217	781	2804
218	786	2804
219	790	2801
220	793	2796
221	798	2796
222	802	2794
223	806	2793
224	811	2794
225	814	2790
226	819	2789
227	822	2784
228	825	2780
229	829	2777
230	833	2774
231	836	2770
232	840	2766
233	843	2762
234	847	2759
235	851	2755
236	854	2751
237	858	2749
238	862	2745
239	865	2742
240	871	2743
241	875	2742
242	879	2739
243	884	2739
244	887	2735
245	891	2732
246	894	2727
247	898	2725
248	902	2721
249	905	2717
250	909	2713
251	913	2711
252	917	2708
253	920	2704
254	924	2701
255	928	2698
256	932	2696
257	936	2692
258	939	2688
259	943	2683
260	947	2681
261	951	2678
262	954	2675
263	958	2671
264	962	2669
265	965	2665
266	969	2660
267	972	2656
268	976	2653
269	980	2651
270	984	2649
271	988	2645
272	991	2641
273	995	2639
274	999	2634
275	1002	2629
276	1005	2625
277	1009	2620
278	1012	2617
279	1015	2612
280	1018	2607
281	1021	2602
282	1025	2598
283	1028	2593
284	1032	2589
285	1035	2584
286	1037	2578
287	1041	2574
288	1044	2570
289	1047	2565
290	1050	2559
291	1053	2553
292	1056	2549
293	1059	2543
294	1062	2538
295	1065	2533
296	1067	2527
297	1070	2522
298	1074	2518
299	1077	2513
300	1080	2509
301	1083	2504
302	1087	2500
303	1090	2497
304	1093	2492
305	1096	2487
306	1099	2481
307	1102	2477
308	1106	2473
309	1109	2468
310	1112	2463
311	1114	2458
312	1117	2453
313	1120	2449
314	1124	2444
315	1126	2438
316	1129	2433
317	1132	2428
318	1135	2423
319	1138	2418
320	1141	2414
321	1144	2409
322	1148	2406
323	1151	2401
324	1154	2398
325	1158	2394
326	1161	2389
327	1164	2386
328	1169	2384
329	1172	2381
330	1176	2377
331	1180	2374
332	1183	2370
333	1186	2366
334	1190	2362
335	1193	2358
336	1197	2355
337	1200	2352
338	1204	2348
339	1208	2345
340	1212	2344
341	1217	2342
342	1222	2340
343	1226	2338
344	1230	2336
345	1236	2336
346	1240	2333
347	1244	2331
348	1248	2328
349	1252	2326
350	1256	2323
351	1260	2320
352	1264	2317
353	1267	2313
354	1271	2310
355	1275	2307
356	1279	2304
357	1283	2301
358	1287	2298
359	1290	2294
360	1293	2290
361	1297	2287
362	1300	2282
363	1304	2278
364	1307	2275
365	1311	2272
366	1315	2268
367	1318	2264
368	1322	2261
369	1326	2259
370	1331	2256
371	1335	2254
372	1339	2251
373	1343	2248
374	1347	2246
375	1351	2243
376	1356	2241
377	1361	2239
378	1366	2239
379	1371	2237
380	1376	2237
381	1381	2234
382	1385	2232
383	1390	2230
384	1395	2229
385	1399	2226
386	1403	2223
387	1408	2222
388	1412	2219
389	1417	2216
390	1422	2215
391	1427	2213
392	1431	2210
393	1436	2209
394	1441	2207
395	1445	2204
396	1449	2201
397	1452	2197
398	1457	2195
399	1462	2193
400	1466	2190
401	1470	2187
402	1475	2185
403	1479	2182
404	1482	2178
405	1486	2174
406	1490	2171
407	1493	2166
408	1496	2162
409	1499	2157
410	1502	2153
411	1506	2149
412	1509	2145
413	1512	2140
414	1515	2136
415	1519	2133
416	1522	2129
417	1525	2124
418	1528	2120
419	1531	2115
420	1535	2112
421	1539	2108
422	1542	2103
423	1545	2099
424	1548	2095
425	1552	2092
426	1555	2087
427	1558	2083
428	1561	2078
429	1565	2075
430	1569	2071
431	1572	2067
432	1575	2063
433	1578	2058
434	1582	2055
435	1586	2051
436	1589	2047
437	1592	2043
438	1595	2038
439	1598	2034
440	1601	2030
441	1604	2025
442	1607	2021
443	1610	2016
444	1613	2011
445	1615	2007
446	1618	2002
447	1621	1997
448	1623	1992
449	1626	1987
450	1629	1983
451	1632	1978
452	1634	1974
453	1637	1969
454	1640	1964
455	1643	1960
456	1646	1956
457	1649	1952
458	1652	1947
459	1657	1945
460	1660	1941
461	1663	1937
462	1666	1932
463	1669	1928
464	1672	1923
465	1674	1919
466	1678	1915
467	1681	1911
468	1684	1906
469	1686	1902
470	1689	1897
471	1692	1893
472	1695	1889
473	1698	1884
474	1701	1881
475	1704	1876
476	1708	1872
477	1711	1868
478	1714	1864
479	1717	1860
480	1720	1856
481	1722	1851
482	1726	1847
483	1729	1843
484	1732	1839
485	1735	1835
486	1738	1830
487	1741	1827
488	1744	1823
489	1748	1820
490	1751	1815
491	1754	1811
492	1757	1806
493	1760	1802
494	1762	1798
495	1765	1793
496	1768	1789
497	1770	1784
498	1773	1780
499	1776	1776
500	1779	1772
501	1782	1768
502	1786	1764
503	1789	1760
504	1792	1756
505	1794	1752
506	1797	1747
507	1800	1743
508	1803	1739
509	1806	1736
510	1810	1732
511	1814	1729
512	1817	1725
513	1821	1722
514	1825	1719
515	1829	1716
516	1833	1712
517	1836	1709
518	1840	1705
519	1843	1701
520	1847	1698
521	1850	1694
522	1854	1691
523	1858	1688
524	1862	1684
525	1865	1681
526	1869	1677
